vendorid,pickup_datetime,dropoff_datetime,Store_and_fwd_flag,rate_code,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,Improvement_surcharge,Total_amount,Payment_type,Trip_type
1,10/03/2015 06:46:04 PM,10/03/2015 06:56:04 PM,N,1,-73.98759460449217,40.66754150390625,-73.96656036376953,40.67514419555664,1,1.6,8.5,0.0,0.5,1.85,0.0,,0.3,11.15,1,1.0
2,05/23/2015 03:18:04 AM,05/23/2015 03:36:42 AM,N,1,-73.91217041015625,40.77495956420898,-73.9417495727539,40.709075927734375,1,6.8,22.5,0.5,0.5,4.76,0.0,,0.3,28.56,1,1.0
1,03/19/2015 03:39:06 PM,03/19/2015 03:56:54 PM,N,1,-73.95769500732422,40.744876861572266,-73.9719009399414,40.75423431396485,1,2.7,13.0,0.0,0.5,3.9,5.83,,0.3,23.53,1,1.0
2,01/03/2015 02:00:50 AM,01/03/2015 02:16:48 AM,N,1,-73.9532699584961,40.7450065612793,-74.01522064208984,40.706146240234375,1,8.37,24.0,0.5,0.5,4.9,0.0,,0.3,30.2,1,1.0
2,12/25/2015 05:07:02 PM,12/25/2015 05:14:02 PM,N,1,-73.88460540771484,40.74767303466797,-73.88673400878906,40.7629508972168,2,1.12,6.5,0.0,0.5,0.0,0.0,,0.3,7.3,2,1.0
2,05/02/2015 04:49:17 AM,05/02/2015 04:58:55 AM,N,1,-73.95791625976561,40.721973419189446,-73.94458770751953,40.705902099609375,5,2.11,9.0,0.5,0.5,0.0,0.0,,0.3,10.3,2,1.0
2,09/13/2015 06:13:14 AM,09/13/2015 06:20:05 AM,N,1,-73.92290496826173,40.708545684814446,-73.9200668334961,40.71133041381836,1,1.57,7.0,0.0,0.5,0.0,0.0,,0.3,7.8,2,1.0
2,09/12/2015 10:12:37 AM,09/12/2015 10:19:37 AM,N,1,-73.97235870361328,40.651660919189446,-73.97566986083984,40.67376327514648,3,1.86,8.0,0.0,0.5,0.0,0.0,,0.3,8.8,2,1.0
2,05/31/2015 07:11:51 PM,05/31/2015 07:14:09 PM,N,1,-73.9637680053711,40.71062088012695,-73.9658203125,40.713565826416016,1,0.46,3.5,0.0,0.5,0.86,0.0,,0.3,5.16,1,1.0
2,02/19/2015 01:58:31 PM,02/19/2015 02:19:39 PM,N,1,-73.92205047607422,40.826541900634766,-73.82863616943358,40.86463928222656,1,9.02,27.0,0.0,0.5,0.0,0.0,,0.3,27.8,1,1.0
1,10/23/2015 02:36:47 PM,10/23/2015 03:04:17 PM,N,1,-73.95348358154298,40.791053771972656,-73.99101257324217,40.751251220703125,1,5.7,23.5,0.0,0.5,2.0,0.0,,0.3,26.3,1,1.0
2,01/17/2015 02:04:58 AM,01/17/2015 02:05:00 AM,N,1,-73.95771026611328,40.722415924072266,-73.95770263671875,40.722412109375,3,0.0,2.5,0.5,0.5,0.0,0.0,,0.3,3.8,2,1.0
2,08/19/2015 04:45:59 PM,08/19/2015 04:56:40 PM,N,1,-73.96305847167967,40.80891036987305,-73.9394302368164,40.80510711669922,1,1.63,9.0,1.0,0.5,1.0,0.0,,0.3,11.8,1,1.0
2,06/23/2015 05:56:49 PM,06/23/2015 06:28:56 PM,N,1,-73.91883087158203,40.7430076599121,-73.97698211669923,40.74323272705078,1,4.25,21.0,1.0,0.5,5.7,0.0,,0.3,28.5,1,1.0
2,10/13/2015 11:01:25 AM,10/13/2015 11:06:59 AM,N,1,-73.93109130859375,40.75496673583984,-73.94211578369139,40.754356384277344,1,0.84,5.5,0.0,0.5,0.0,0.0,,0.3,6.3,2,1.0
1,12/23/2015 04:15:06 PM,12/23/2015 05:11:00 PM,N,1,-73.94798278808595,40.830177307128906,-73.86490631103516,40.77037048339844,2,9.9,36.5,1.0,0.5,13.15,5.54,,0.3,56.99,1,1.0
2,09/22/2015 09:32:19 PM,09/22/2015 09:46:47 PM,N,1,-73.94518280029298,40.808002471923835,-73.90601348876953,40.822872161865234,1,2.88,12.0,0.5,0.5,0.0,0.0,,0.3,13.3,2,1.0
2,09/12/2015 05:03:02 PM,09/12/2015 05:19:23 PM,N,1,-73.90477752685547,40.812442779541016,-73.90095520019531,40.84868621826172,1,3.05,13.0,0.0,0.5,0.0,0.0,,0.3,13.8,2,1.0
2,04/24/2015 09:00:43 PM,04/24/2015 09:16:37 PM,N,1,-73.95962524414062,40.80879592895508,-73.93463134765625,40.85487365722656,1,4.07,15.5,0.5,0.5,2.0,0.0,,0.3,18.8,1,1.0
2,12/17/2015 05:32:48 AM,12/17/2015 05:45:14 AM,N,1,-73.9519805908203,40.809127807617195,-73.98287963867188,40.75033950805664,1,4.87,15.5,0.5,0.5,3.36,0.0,,0.3,20.16,1,1.0
2,03/31/2015 11:44:25 AM,03/31/2015 11:47:11 AM,N,1,-73.97826385498048,40.670913696289055,-73.98174285888672,40.66681289672852,1,0.33,4.0,0.0,0.5,0.0,0.0,,0.3,4.8,2,1.0
2,05/31/2015 04:41:24 PM,05/31/2015 04:49:20 PM,N,1,-73.90123748779298,40.71476745605469,-73.91264343261719,40.71334838867188,1,0.63,6.5,0.0,0.5,0.0,0.0,,0.3,7.3,2,1.0
1,07/18/2015 04:50:40 PM,07/18/2015 05:03:41 PM,N,1,-73.95818328857422,40.71744155883789,-73.94705963134764,40.74519348144531,1,2.2,11.0,0.0,0.5,0.0,0.0,,0.3,11.8,2,1.0
2,10/21/2015 11:19:36 AM,10/21/2015 11:41:06 AM,N,1,-73.93880462646483,40.80587387084961,-73.9743881225586,40.79353332519531,1,2.91,15.5,0.0,0.5,3.26,0.0,,0.3,19.56,1,1.0
2,12/07/2015 12:12:56 AM,12/08/2015 12:09:47 AM,N,1,-73.92050170898438,40.7051010131836,-74.00811004638672,40.7057991027832,2,6.16,21.0,0.5,0.5,0.0,0.0,,0.3,22.3,1,1.0
2,01/14/2015 03:51:47 PM,01/14/2015 04:01:02 PM,N,1,-73.8742446899414,40.74204254150391,-73.87315368652342,40.75107192993164,1,1.15,7.5,0.0,0.5,0.0,0.0,,0.3,8.3,2,1.0
1,05/09/2015 06:45:45 PM,05/09/2015 06:59:16 PM,N,1,-73.95348358154298,40.80202865600586,-73.92513275146483,40.818183898925774,1,2.4,11.5,0.0,0.5,0.0,0.0,,0.3,12.3,2,1.0
1,03/28/2015 07:46:46 PM,03/28/2015 08:00:35 PM,N,1,-73.94744873046875,40.787643432617195,-73.89812469482422,40.81586837768555,2,3.9,14.0,0.0,0.5,0.0,0.0,,0.3,14.8,2,1.0
2,05/27/2015 08:28:51 AM,05/27/2015 09:08:51 AM,N,4,-73.83999633789062,40.72132873535156,-73.69412994384764,40.63589096069336,1,12.85,50.0,0.0,0.5,10.16,0.0,,0.3,60.96,1,1.0
2,07/24/2015 09:33:30 AM,07/24/2015 09:41:16 AM,N,1,-73.94810485839844,40.71487808227539,-73.96379852294923,40.71829605102539,6,1.09,7.0,0.0,0.5,1.56,0.0,,0.3,9.36,1,1.0
2,12/21/2015 12:51:24 PM,12/21/2015 12:58:28 PM,N,1,-73.9635009765625,40.80340576171875,-73.94898986816406,40.798370361328125,1,1.15,7.0,0.0,0.5,1.56,0.0,,0.3,9.36,1,1.0
2,07/12/2015 05:50:13 PM,07/12/2015 05:56:46 PM,N,1,-73.88642120361328,40.74959945678711,-73.8883285522461,40.76118850708008,5,1.09,6.5,0.0,0.5,0.0,0.0,,0.3,7.3,2,1.0
2,11/20/2015 05:34:15 AM,11/20/2015 05:56:56 AM,N,1,-73.93575286865233,40.850296020507805,-73.98349761962889,40.74106216430664,1,9.63,29.5,0.5,0.5,1.0,0.0,,0.3,31.8,1,1.0
2,04/01/2015 12:11:47 PM,04/01/2015 12:22:52 PM,N,1,-73.94219970703125,40.8424186706543,-73.96507263183594,40.80622863769531,1,3.01,11.5,0.0,0.5,2.0,0.0,,0.3,14.3,1,1.0
1,06/11/2015 12:01:45 AM,06/11/2015 12:06:29 AM,N,1,-73.91899871826173,40.74290084838867,-73.9056167602539,40.7378158569336,1,1.0,5.5,0.5,0.5,0.0,0.0,,0.3,6.8,2,1.0
2,04/09/2015 02:51:32 PM,04/09/2015 03:10:52 PM,N,1,-73.99266815185547,40.689544677734375,-73.9471664428711,40.67506790161133,2,3.05,15.0,0.0,0.5,0.0,0.0,,0.3,15.8,2,1.0
2,02/07/2015 03:30:29 PM,02/07/2015 03:46:44 PM,N,1,-73.99150848388672,40.70339584350586,-74.0017318725586,40.72743225097656,1,3.12,13.5,0.0,0.5,2.7,0.0,,0.3,17.0,1,1.0
1,08/13/2015 12:51:14 PM,08/13/2015 01:12:46 PM,N,1,-73.9881134033203,40.69069290161133,-73.93690490722656,40.69757080078125,1,3.2,15.5,0.0,0.5,3.25,0.0,,0.3,19.55,1,1.0
2,03/11/2015 05:23:08 PM,03/11/2015 06:25:27 PM,N,1,-73.94979095458984,40.677410125732415,-73.9796142578125,40.771270751953125,1,10.54,41.5,1.0,0.5,8.66,0.0,,0.3,51.96,1,1.0
2,02/22/2015 10:28:44 AM,02/22/2015 10:48:33 AM,N,1,-73.8944320678711,40.868022918701165,-73.91561126708984,40.824531555175774,1,4.04,16.5,0.0,0.5,0.0,0.0,,0.3,17.3,2,1.0
2,09/16/2015 09:02:43 PM,09/16/2015 09:15:02 PM,N,1,-73.82559204101561,40.711875915527344,-73.8658676147461,40.681148529052734,1,4.28,14.0,0.5,0.5,0.0,0.0,,0.3,15.3,2,1.0
